,Frequencia,Amplitude(V),Amplitude(V)2
296,-203.5,0.0004438270020526562,0.004441014392256416
297,-202.5,0.00045008358802817644,0.0069461814182755115
298,-201.5,0.000456474093649079,0.009590847466079347
299,-200.5,0.0004630026831280939,0.026455386664139168
300,-199.5,0.0004696736922051183,0.09988096168183877
301,-198.5,0.000476491637054558,0.011184932663625115
302,-197.5,0.00048346122375411216,0.008783190717941194
303,-196.5,0.0004905873583579737,0.004919747988268798
304,-195.5,0.0004978751576159269,0.004016404996386237
305,-194.5,0.0005053299603981723,0.0025981603261325367
306,-193.5,0.0005129573398646996,0.0020592220403035533
307,-192.5,0.0005207631164526285,0.0009059618136396489
308,-191.5,0.000528753371734766,9.571517819560953e-05
309,-190.5,0.0005369344632252588,0.004234896093340462
310,-189.5,0.0005453130402079915,0.02704226410106061
311,-188.5,0.0005538960606689577,0.004358113714291866
312,-187.5,0.0005626908094248718,0.0037466569723073138
313,-186.5,0.0005717049175509097,0.0026674628675734183
314,-185.5,0.0005809463832134597,0.0024047308914568687
315,-184.5,0.000590423594034537,0.001988583339394322
316,-183.5,0.000600145351110896,0.0018460700295379671
317,-182.5,0.0006101208948503675,0.001604084841613768
318,-181.5,0.0006203599327678269,0.0015091954910764114
319,-180.5,0.0006308726694341831,0.0013432417416121465
320,-179.5,0.0006416698387685229,0.0012729784531270152
321,-178.5,0.0006527627388957599,0.0011487926833122439
322,-177.5,0.0006641632698004337,0.0010933011113262408
323,-176.5,0.0006758839740652134,0.0009951916129727315
324,-175.5,0.0006879380809733354,0.0009493921025227616
325,-174.5,0.0007003395543154983,0.0008689099210478461
326,-173.5,0.0007131031442719535,0.0008298461552382937
327,-172.5,0.0007262444437842894,0.0007619292208839509
328,-171.5,0.0007397799498724948,0.0007277272248499322
329,-170.5,0.0007537271304247068,0.000669104357719494
330,-169.5,0.0007681044970364348,0.0006384977332098322
331,-168.5,0.0007829316845526207,0.0005869316372896448
332,-167.5,0.0007982295380536469,0.0005590198794115274
333,-166.5,0.0008140202081128703,0.0005129102007229191
334,-165.5,0.0008303272552680265,0.00048702486702430073
335,-164.5,0.0008471757647735566,0.0004451833940099204
336,-163.5,0.0008645924728404279,0.00042080885225216543
337,-162.5,0.0008826059057471384,0.00038232414932721966
338,-161.5,0.000901246533383902,0.00035904793679010993
339,-160.5,0.0009205469390410278,0.00032319957777037563
340,-159.5,0.0009405420074846574,0.0003006797184283002
341,-158.5,0.0009612691336997563,0.000266881485592988
342,-157.5,0.00098276845502262,0.0002448239168003937
343,-156.5,0.0010050831098104484,0.00021258460531319842
344,-155.5,0.001028259526309081,0.00019072678501191447
345,-154.5,0.001052347745957634,0.00015962201572968402
346,-153.5,0.001077401786073759,0.00013772032433372522
347,-152.5,0.0011034800477224213,0.00010737133654101311
348,-151.5,0.0011306457755515726,8.519073021158398e-05
349,-150.5,0.0011589675776102009,5.5247559552995337e-05
350,-149.5,0.0011885200146112384,3.255239299725585e-05
351,-148.5,0.0012193842698850722,2.6796508128833463e-06
352,-147.5,0.0012516489134307242,2.0775175916756663e-05
353,-146.5,0.0012854107761014017,5.0911261546330574e-05
354,-145.5,0.0013207759532606446,7.538959199412528e-05
355,-144.5,0.0013578609612422273,0.0001061340086885026
356,-143.5,0.0013967940749865118,0.00013192895054362224
357,-142.5,0.001437716881552683,0.00016365172298567866
358,-141.5,0.001480786092110044,0.00019109835807406726
359,-140.5,0.001526175665141835,0.0002242106333455855
360,-139.5,0.0015740793064931604,0.0002537021994625848
361,-138.5,0.0016247134285577516,0.0002886762527108909
362,-137.5,0.0016783206725670054,0.00032068564900904634
363,-136.5,0.0017351741263736875,0.00035808117546974166
364,-135.5,0.0017955824078017535,0.0003931906178703117
365,-134.5,0.0018598958340800306,0.0004336909324130293
366,-133.5,0.0019285139661531416,0.00047263427563255
367,-132.5,0.0020018949102791873,0.0005170982729659869
368,-131.5,0.0020805668891824857,0.000560823537154883
369,-130.5,0.0021651427779893094,0.0006103633548746616
370,-129.5,0.002256338561658646,0.0006601286289863541
371,-128.5,0.0023549970508965155,0.0007162307880541154
372,-127.5,0.002462118756670515,0.0007737577547679442
373,-126.5,0.0025789026745048436,0.0008384814318522613
374,-125.5,0.0027068010448650765,0.0009062139560964176
375,-124.5,0.002847594239331785,0.0009825345740806677
376,-123.5,0.003003495314931734,0.0010641023383603646
377,-122.5,0.00317729947787106,0.0011565505365475745
378,-121.5,0.003372603611723132,0.0012576688007160312
379,-120.5,0.0035941389729733024,0.0013736312515148094
380,-119.5,0.0038482941747417067,0.001504037739952231
381,-118.5,0.00414397359003059,0.0016567445895431297
382,-117.5,0.004494081113087373,0.0018350024688633566
383,-116.5,0.004918251755659785,0.0020516485194506844
384,-115.5,0.005448291513702158,0.002319759265605522
385,-114.5,0.0061401607371669,0.0026699671931075864
386,-113.5,0.007104193806853928,0.003154971980560641
387,-112.5,0.008597548275556114,0.003905652144051101
388,-111.5,0.011408918158597597,0.005314232597379552
389,-110.5,0.019832817777951175,0.009529930213112613
390,-109.5,0.11736804075420175,0.05906768706438862
391,-108.5,0.006412285045327024,0.003586302847937274
392,-107.5,7.833995067614963e-05,0.0003382532287103442
393,-106.5,0.0030721854004017897,0.001161946661902484
394,-105.5,0.0053764679724331065,0.0023167583807754658
395,-104.5,0.007766818322854116,0.003514992473223162
396,-103.5,0.010826942945943172,0.005047666308239572
397,-102.5,0.015550571767635402,0.007412331147713006
398,-101.5,0.024790312880339394,0.01203476176770733
399,-100.5,0.05385034057200075,0.026567426221144077
400,-99.5,0.49240690968225204,0.24655868311642548
401,-98.5,0.04511301182839621,0.022909275746783336
402,-97.5,0.02354855269815901,0.012124567682379572
403,-96.5,0.01570067283196111,0.008198354759023472
404,-95.5,0.011484495918671166,0.006087818252205021
405,-94.5,0.0086859679262932,0.004686460893535264
406,-93.5,0.006471306086750663,0.0035767056164600418
407,-92.5,0.004311056239344174,0.0024946619760255703
408,-91.5,0.0014141889828803594,0.0010438209548129618
409,-90.5,0.0056845045310171,0.002507274047482168
410,-89.5,0.12929629995332143,0.06498073100743645
411,-88.5,0.01568282142578253,0.0081724105776135
412,-87.5,0.010412524492516907,0.005534868281490085
413,-86.5,0.008357202251374287,0.0045057904482739535
414,-85.5,0.00718941298152065,0.003919498342225911
415,-84.5,0.006404316423585352,0.0035256959375303677
416,-83.5,0.005824948294133498,0.0032336035432348974
417,-82.5,0.005371917485951768,0.0030059954958216637
418,-81.5,0.005003642225852292,0.0028194311721558714
419,-80.5,0.004695884254213869,0.0026646206952647784
420,-79.5,0.004433364705540284,0.0025309079905844914
421,-78.5,0.00420586222169524,0.0024163868768392323
422,-77.5,0.004006213652130339,0.002314075098100726
423,-76.5,0.003829209309034502,0.0022249659722859143
424,-75.5,0.003670944202083984,0.002143302481993841
425,-74.5,0.003528417460058614,0.002071597250658493
426,-73.5,0.003399274397110446,0.0020044417960163713
427,-72.5,0.003281634415836901,0.0019453481545443658
428,-71.5,0.0031739726297038548,0.001888870015352749
429,-70.5,0.0030750362633208306,0.001839300523052356
430,-69.5,0.002983784242366947,0.001790952663866823
431,-68.5,0.0028993426523092804,0.001748808147184467
432,-67.5,0.0028209713076515785,0.0017068136249410737
433,-66.5,0.0027480382603353296,0.0016706074459161072
434,-65.5,0.0026800000852494907,0.0016336787812414972
435,-64.5,0.0026163864388788548,0.00160232422788849
436,-63.5,0.002556787825574372,0.001569499314611835
437,-62.5,0.0025008458039984735,0.0015421819180280202
438,-61.5,0.002448245072588973,0.0015127227379560094
439,-60.5,0.0023987070180725638,0.0014888198695791346
440,-59.5,0.002351984414757375,0.0014621471276191444
441,-58.5,0.0023078570374929002,0.0014411753952524378
442,-57.5,0.002266128006288019,0.001416824709493611
443,-56.5,0.0022266207215267614,0.0013984044601714394
444,-55.5,0.0021891762794495665,0.001375995998626399
445,-54.5,0.0021536512808572276,0.0013598267692306607
446,-53.5,0.0021199159638459622,0.0013390435357666828
447,-52.5,0.002087852605148713,0.0013248867594557187
448,-51.5,0.0020573541453837215,0.0013054585671026643
449,-50.5,0.0020283230019490814,0.0012931252509102075
450,-49.5,0.00200067003993289,0.001274816476346311
451,-48.5,0.001974313676713575,0.0012641584032524263
452,-47.5,0.0019491791001782185,0.0012467582378925747
453,-46.5,0.0019251975838864587,0.0012376617674115186
454,-45.5,0.0019023058852899058,0.001220976046891343
455,-44.5,0.0018804457153722182,0.0012133579283988415
456,-43.5,0.0018595632699172056,0.0011972018271108184
457,-42.5,0.0018396088141476377,0.0011910066779633355
458,-41.5,0.001820536313714175,0.0011751976450615066
459,-40.5,0.001802303106086248,0.0011703969301232744
460,-39.5,0.0017848696072381798,0.001154747233981858
461,-38.5,0.001768199049273322,0.001151339749980304
462,-37.5,0.0017522572452399027,0.001135647879216916
463,-36.5,0.0017370123778971608,0.0011336619295227225
464,-35.5,0.0017224348096397154,0.0011177018277754862
465,-34.5,0.001708496911161842,0.0011171995121052195
466,-33.5,0.001695172906736626,0.0011007061044930391
