,Frequencia,Amplitude,Fase
206,307.8431372549019,1.0,1.6878360531051069
207,311.7647058823529,1.0,1.5892762835807188
208,315.68627450980387,1.0,1.4907165140563343
209,319.6078431372549,1.0,1.3921567445319472
210,323.52941176470586,1.0,1.2935969750075635
211,327.4509803921568,1.0,1.1950372054831782
212,331.37254901960785,1.0,1.0964774359587892
213,335.2941176470588,1.0,0.9979176664344056
214,339.2156862745097,1.0,0.899357896910022
215,343.1372549019608,1.0,0.800798127385633
216,347.0588235294117,1.0,0.7022383578612494
217,350.98039215686276,1.0,0.6036785883368605
218,354.9019607843137,1.0,0.5051188188124787
219,358.82352941176464,1.0,0.4065590492880933
220,362.7450980392157,1.0,0.30799927976370434
221,366.66666666666663,1.0,0.20943951023932073
222,370.58823529411757,1.0,0.11087974071493534
223,374.5098039215686,1.0,0.012319971190548173
224,378.43137254901956,1.0,-0.08623979833383544
225,382.3529411764705,1.0,-0.18479956785822083
226,386.27450980392155,1.0,-0.283359337382608
227,390.1960784313725,1.0,-0.3819191069069934
228,394.11764705882354,1.0,-0.48047887643138054
229,398.0392156862745,1.0,-0.5790386459557642
230,401.9607843137254,1.0,-0.6775984154801495
231,405.88235294117646,1.0,-0.7761581850045367
232,409.8039215686274,1.0,-0.8747179545289221
233,413.72549019607834,1.0,-0.9732777240533075
234,417.6470588235294,1.0,-1.0718374935776946
235,421.56862745098033,1.0,-1.1703972631020783
236,425.4901960784314,1.0,-1.2689570326264654
237,429.4117647058823,1.0,-1.3675168021508508
238,433.33333333333326,1.0,-1.4660765716752362
239,437.2549019607843,1.0,-1.5646363411996234
240,441.17647058823525,1.0,-1.663196110724007
241,445.0980392156862,1.0,-1.7617558802483906
242,449.01960784313724,1.0,-1.8603156497727795
243,452.9411764705882,1.0,-1.958875419297165
244,456.8627450980392,1.0,-2.057435188821552
245,460.78431372549016,1.0,-2.1559949583459375
246,464.7058823529411,1.0,-2.2545547278703193
247,468.62745098039215,1.0,-2.3531144973947082
248,472.5490196078431,1.0,-2.451674266919092
249,476.47058823529403,1.0,-2.5502340364434772
250,480.3921568627451,1.0,-2.648793805967866
251,484.313725490196,1.0,-2.747353575492248
252,488.2352941176471,1.0,-2.845913345016637
253,492.156862745098,1.0,-2.9444731145410206
254,496.07843137254895,1.0,-3.043032884065406
255,500.0,1.0,-3.141592653589793
